instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
eil33-2,zhifmvmultiple2ltmend1ly,577.283513188,282.14,223.28,-2.58546897702,-1.26361519169
map18,hr0,504.503682948,641.32,768.82,1.52391355303,1.19880870704
rmatr100-p10,zhifmvrdcifmvmultiple2,553.842930149,408.15,378.43,-1.46352807692,-1.07853499987
khb05250,zhifmvmultiple2,642.535516008,0.22,0.22,-2920.61598186,1.0
msc98-ip,cts0,608.703743689,967.81,924.5,1.51880123884,-1.04684694429
qiu,zhifmvmultiple2,642.535516617,1847.14,357.56,-1.79700054988,-5.16595816087
c10400,cts0,558.813912532,1.94,1.0,-558.813912532,-1.94
T2_300_5000_0,zhifmvrdcifmvmultiple2,553.168181008,205.8,232.69,-2.37727526326,1.13066083576
aflow30a,cts0,621.210126837,117.04,133.84,-4.64143848503,1.14354066986
nsrand-ipx,zhifmvresidualifmv,-381.438772842,244.36,247.41,-0.648623101833,1.01248158455
ns1688347,zhifmvmultiple2,642.535547294,2944.16,5547.38,8.63357680888,1.88419786968
sp97ar,zhifmvmultiple2pptn5005043,428.673741389,221.45,219.43,-1.95357855074,-1.00920566923
pp08aCUTS,zhifmvnodedowndepth,1364.64513993,181.63,173.98,-7.84368973407,-1.04397057133
neos-631709,zhifmvlgmiend1lyltmend1lyrdcifmv,1358.54693148,585.2,625.05,-2.17350121027,1.06809637731
n3div36,zhifmvnodeupdepth,557.945124098,278.89,287.24,-1.94243532968,1.02994011976
eilB101.2,zhifmvhr0nve1str10tr20dvo7rnd1rns1,459.821190389,536.82,531.65,1.15621030764,-1.00972444277
c60900,zhifmvnodeupdepth,268.034266219,4201.52,4201.56,15.6754584377,1.00000952036
sp98ic,zhifmvresidualifmv,-399.065332117,210.8,215.67,-0.540437824694,1.02310246679
rout,zhifmvmultiple2ltmend1ly,577.269595631,23.42,25.35,-22.771976159,1.08240819812
seymour,zhifmvmultiple2str10tr20,577.247683366,450.34,459.3,-1.25679878808,1.01989607852
e201600,zhifmvmultiple2ltmend1lylgmiend1ly,-344.336615183,204.01,405.58,-1.17785905453,1.98803980197
neos-1096528,zhifmvxpsve2,1322.82650615,3454.62,1316.6,-1.00472923147,-2.62389488075
liu,zhifmvnodeupdepth,507.932852757,447.96,447.96,-1.13387992847,1.0
swath,zhifmvnodeupdepth,519.277920596,730.21,615.68,1.18564640548,-1.18602195946
neos-538867,cts0,620.644811036,155.45,283.97,-2.18559992617,1.8267610164
neos-957270,zhifmvmultiple2,642.535573038,400.0,400.0,-1.60633893259,1.0
enlight14,zhifmvrdcifmvmultiple2,553.067615086,6300.0,6300.0,11.3910122888,1.0
nrperfan,zhifmvmultiple2ltmend1ly,577.277956814,275.22,287.82,-2.00569090687,1.04578155657
net12,zhifmvnodeupdepth,525.993467171,1502.1,1613.91,3.06830806983,1.07443578989
qap10,prxt1,1364.80307902,443.8,443.8,-3.07526606358,1.0
neos-941313,zhifmvmultiple2ltmend1lylgmiend1ly,805.49206195,600.0,800.0,-1.00686507744,1.33333333333
satellites1-25,zhifmvmultiple2pptn5005043,428.368183486,2239.32,2075.0,4.84396386098,-1.07919036145
neos-954925,zhifmvmultiple3,430.635209724,600.04,400.2,-1.07604999931,-1.49935032484
e20100,zhifmvresidualifmv,-314.149728772,30.33,42.53,-0.135381304215,1.40224200462
n3seq24,zhifmvresidualifmv,-1256.51996573,3843.06,4407.6,-3.50778349744,1.14689856521
eilB101,hr0,648.356140657,282.94,290.46,-2.23217014617,1.02657807309
ash608gpia-3col,zhifmvmultiple2pptn5005043,-294.416650056,6300.0,6300.0,-21.3982463248,1.0
neos-476283,xpsve2,-324.516517457,600.62,600.46,-1.85032184095,-1.00026646238
sp97ic,zhifmvmultiple2ltmend1ly,577.26828117,224.56,233.31,-2.47425434473,1.03896508728
cap6000,zhifmvnodeupdepth,488.86555623,0.02,0.02,-24443.2778115,1.0
misc03,zhifmvmultiple2pptn5005043,428.857180325,567.49,680.71,1.58726501789,1.19951012353
rococoC10-001000,zhifmvmultiple2pptn5005043,158.934866268,129.81,140.29,-1.13290231854,1.08073337955
br4,zhifmvmultiple2residualifmv,-294.917296445,297.22,257.82,-0.874211187704,-1.15281979676
neos-912015,hr0,646.309286032,200.01,200.01,-3.23138486092,1.0
neos-611135,zhifmvmultiple2,642.535578801,554.28,220.25,-2.91730115233,-2.51659477866
neos-785899,hr0,648.371725278,263.36,243.56,-2.66206160814,-1.08129413697
ns1758913,xpsve2,6830.86507042,3251.16,3398.54,-2.00994105422,1.04533151244
nw04,zhifmvresidualifmv,-946.661416639,222.07,268.67,-0.283807911971,1.20984374296
ns1830653,zhifmvmultiple2dvo7,642.535407272,1861.74,1109.76,1.72715773705,-1.67760596886
harp2,str10tr20zhifmvrdcifmv,49918.7225861,4.22,5.18,-9636.81903207,1.22748815166
e401600,xpsve1,702.361486294,917.73,924.14,1.31576121133,1.00698462511
pw-myciel4,zhifmvmultiple2,642.535537918,770.0,680.0,1.05830722173,-1.13235294118
T2_200_2000_0,zhifmvnodedowndepth,1363.64373457,28.57,28.57,-47.7299172059,1.0
neos-544324,zhifmvnodeupdepth,534.888200778,551.6,551.6,1.03124353687,1.0
roll3000,prxt1,1367.01237041,229.21,275.29,-4.96571749941,1.20103834911
neos-555927,hr0,648.467803405,215.49,448.43,-1.44608479229,2.08097823565
n4-3,zhifmvresidualifmv,-536.586424388,492.68,474.12,-0.883585529658,-1.03914620771
neos-547911,hr0,648.455862606,282.95,282.95,-2.29176837818,1.0
neos-931538,prxt1,1367.79196878,485.72,485.08,-2.81972451714,-1.00131937
bell5,zhifmvmultiple2ltmend1ly,577.268984246,3.17,0.87,-663.527568099,-3.64367816092
rgn,cts0,626.163255661,853.24,280.78,-2.23008496211,-3.03882042881
set1ch,zhifmvnodeupdepth,507.702306147,60.63,60.95,-8.32981634367,1.00527791522
average improvement_pred: -658.694804748 maximum improvement: 15.6754584377 (c60900)average improvement_real: -0.485712127571 maximum improvement_real: 14.0288691734 (c60900) 

