instance, recommended_parameter, param_value_pred, param_value_real, default_value, improvement_pred, improvement_real
n050w4-0,zhifmvmultiple4,1162.36780831,552.0,488.59,-2.37902496635,-1.12978161649
dsbmip,zhifmvmultiple4,512.579407336,0.02,0.02,-25628.9703668,1.0
neos-957323,zhifmvmultiple4,709.693492934,400.0,400.0,-1.77423373234,1.0
lseu,zhifmvmultiple4,464.735619521,29.41,123.07,-3.77618931926,4.18463107786
gt2,zhifmvmultiple4,528.493152719,764.62,764.62,1.4467926331,1.0
neos-1437164,zhifmvmultiple4,491.798321782,97.24,97.24,-5.05757221084,1.0
neos-641591,zhifmvmultiple4,574.612248157,400.63,200.76,-2.86218493802,-1.99556684599
n080w8-7,zhifmvmultiple4,1348.65130615,638.4,500.75,-2.69326271822,-1.2748876685
bnatt350,zhifmvmultiple4,620.767331362,4200.01,4200.01,6.76583606741,1.0
e10400,zhifmvmultiple4,710.447938408,2.01,5.32,-133.542845566,2.64676616915
a10100,zhifmvmultiple4,528.736407673,2.32,2.32,-227.903623997,1.0
neos-799838,zhifmvmultiple4,538.302284592,390.61,398.06,-1.3523144365,1.01907273239
flugpl,zhifmvmultiple4,464.052853266,26.89,27.1,-17.1237215227,1.00780959464
neos-957389,zhifmvmultiple4,652.027132242,4400.0,400.0,-1.6300678306,-11.0
dcmulti,zhifmvmultiple4,483.780458011,10.65,13.45,-35.968807287,1.26291079812
neos-912023,zhifmvmultiple2passf45,557.582348384,223.53,223.53,-2.49444078371,1.0
neos-957143,zhifmvmultiple4,658.172614631,400.0,400.0,-1.64543153658,1.0
air05,zhifmvmultiple4,741.964771455,225.08,233.48,-3.17785151386,1.03732006398
pdistuchoa,zhifmvmultiple4,354.571910641,872.12,792.08,2.23390510141,-1.10105039895
neos-950242,zhifmvmultiple4,1136.00680502,1817.88,675.0,-1.68297304448,-2.69315555556
neos-931538,zhifmvmultiple4,645.883765223,404.24,485.08,-1.33149947477,1.19998020978
timtab2,zhifmvmultiple4,456.6367595,1545.2,1415.83,3.10056072041,-1.09137396439
t1717,zhifmvmultiple4,1090.12660192,724.27,720.96,-1.51204866,-1.00459110075
ran16x16,zhifmvmultiple4,476.177195977,28.61,31.87,-14.9412361461,1.11394617267
neos-1441553,zhifmvmultiple4,507.272739044,295.76,204.56,-2.47982371453,-1.44583496285
eilA101.2,zhifmvmultiple4,909.154522923,529.41,641.07,-1.4181829175,1.21091403638
neos1,zhifmvmultiple4,501.576504175,179.37,172.96,-2.89995666151,-1.03706059204
a05100,zhifmvmultiple4,521.454395248,0.43,0.43,-1212.68464011,1.0
p0548,zhifmvmultiple4,498.722945502,2023.78,2023.78,4.05792438117,1.0
neos-1215891,zhifmvmultiple4,933.345558344,401.98,202.5,-4.60911386836,-1.98508641975
disctom,zhifmvmultiple4,2849.83004072,200.01,200.01,-14.2484377817,1.0
vpm2,zhifmvmultiple4,511.563346586,123.29,110.03,-4.64930788499,-1.12051258748
pigeon-10,zhifmvmultiple4,510.702762317,210.01,210.01,-2.4318021157,1.0
ibarra,zhifmvmultiple4,495.744670526,1120.78,309.82,-1.60010545002,-3.61751985024
neos-953928,zhifmvmultiple4,758.905104411,403.45,400.4,-1.89536739363,-1.00761738262
neos-555927,zhifmvmultiple4,485.791623456,211.83,448.43,-1.08331651196,2.11693338998
c20400,zhifmvmultiple4,669.978406214,4.5,203.71,-3.28888324684,45.2688888889
nug08,zhifmvmultiple4,512.557222412,260.51,283.91,-1.80535107045,1.08982380715
neos-709469,zhifmvmultiple4,518.744711168,0.02,200.01,-2.59359387615,10000.5
csched010,zhifmvmultiple4,495.466722576,4423.52,679.06,1.37054613168,-6.51418136836
cov1075,zhifmvmultiple4,505.682279604,214.3,193.81,-2.60916505652,-1.10572209896
neos-860244,zhifmvmultiple4,577.899311573,381.12,132.25,-4.36974904781,-2.8818147448
fast0507,zhifmvmultiple4,813.184949598,421.01,220.21,-3.69277030833,-1.9118568639
trd445c,zhifmvmultiple4,778.493434951,250.62,266.36,-2.92271149929,1.06280424547
iis-pima-cov,zhifmvmultiple4,2628.97545543,462.33,477.45,-5.50628433435,1.03270391279
A-2,zhifmvmultiple4,347.202179886,1836.45,638.65,1.83941817476,-2.8755186722
netdiversion,zhifmvmultiple4,2075.48743607,1687.77,842.34,-2.46395450301,-2.00366835245
neos-1224597,zhifmvmultiple4,627.171460915,200.01,200.01,-3.13570051955,1.0
bs24_t,zhifmvmultiple4,774.025211225,1438.63,1248.74,1.61330662347,-1.1520652818
fiber,zhifmvmultiple4,476.110212011,146.34,117.96,-4.03620050874,-1.24059003052
neos-1597104,zhifmvmultiple4,754.01241671,400.0,400.0,-1.88503104177,1.0
m100n500k4r1,zhifmvmultiple4,554.478440261,88.01,92.01,-6.02628453713,1.04544938075
aflow40b,zhifmvmultiple4,499.252839188,324.15,314.99,-1.58497996504,-1.02908028826
triptim1,zhifmvmultiple4,33505.7820939,400.4,400.4,-83.6807744602,1.0
mine-166-5,zhifmvmultiple4,674.376347523,231.28,240.72,-2.80149695714,1.04081632653
neos-1595230,zhifmvmultiple4,534.193729127,266.35,272.26,-1.96207202353,1.02218884926
glass4,zhifmvmultiple4,485.893905719,825.43,781.78,1.60895205887,-1.05583412213
T2_300_1000_0,zhifmvmultiple4,510.134955724,29.85,31.93,-15.976666324,1.06968174204
neos-1622252,zhifmvmultiple4,559.578155232,733.29,733.29,1.31043357062,1.0
neos-631710,zhifmvmultiple4,5478.26064175,1916.61,4400.0,-1.24505923676,2.29572004738
rail507,zhifmvmultiple4,774.323131263,227.43,229.62,-3.3721937604,1.0096293365
tas010,zhifmvmultiple4,697.913204561,462.4,440.12,-1.58573390112,-1.05062255748
neos-825075,zhifmvmultiple4,580.257351511,132.73,45.76,-12.6804491152,-2.90056818182
eilC76,zhifmvmultiple4,537.847583733,233.73,424.74,-1.2662984031,1.81722500321
neos-662469,zhifmvmultiple4,574.612248157,400.62,200.77,-2.86204237763,-1.99541764208
neos-849702,zhifmvmultiple4,591.565351346,4200.01,4200.01,7.09982420445,1.0
rentacar,zhifmvmultiple4,539.585291048,261.51,261.51,-2.06334477094,1.0
p2756,zhifmvmultiple4,513.695588211,1.69,3.16,-162.561895003,1.86982248521
eilA76,zhifmvmultiple4,551.70515892,323.47,344.03,-1.60365421306,1.06356076298
vpm1,zhifmvmultiple4,493.535170596,481.33,481.33,-1.02535717823,1.0
biella1,zhifmvmultiple4,-3906.45939377,404.51,403.67,-0.103333980802,-1.00208090767
neos-1440225,zhifmvmultiple4,685.125042057,200.01,200.01,-3.42545393759,1.0
stdc6262p,zhifmvmultiple4,953.64137845,601.35,400.68,-2.38005734863,-1.50082359988
map20,zhifmvmultiple4,1162.92859314,699.99,749.8,-1.55098505353,1.0711581594
neos-631694,zhifmvmultiple2passf45,601.749749228,208.7,327.5,-1.83740381444,1.56923814087
egout,zhifmvmultiple4,492.873151394,1547.08,1547.08,3.13890094363,1.0
neos-1281048,zhifmvmultiple4,558.86228444,228.52,228.52,-2.4455727483,1.0
neos-820879,zhifmvmultiple4,548.697136554,217.33,215.53,-2.54580400201,-1.00835150559
p6b,zhifmvmultiple4,496.573977089,508.2,519.44,1.04604756585,1.02211727666
medium_hidden05,zhifmvmultiple4,1428.20590323,2998.8,3386.33,2.37103767205,1.12922835801
neos-1599274,zhifmvmultiple4,494.83142239,255.02,255.02,-1.94036319657,1.0
binkar10_1,zhifmvmultiple4,471.712089033,2.57,2.38,-198.198356737,-1.07983193277
bley_xl1,zhifmvmultiple4,4334.05956082,774.8,405.0,-10.7013816317,-1.91308641975
neos-808214,zhifmvmultiple4,635.477410022,300.0,700.0,1.1015340419,2.33333333333
rmatr100-p5,zhifmvmultiple4,342.684829476,441.21,507.32,1.48042736755,1.14983794565
neos-1109824,zhifmvmultiple4,555.094536565,300.46,250.98,-2.21170824992,-1.19714718304
n080w8-1,zhifmvmultiple4,1409.25293227,728.59,713.19,-1.97598526657,-1.02159312385
modglob,zhifmvmultiple4,475.29530049,3.42,8.22,-57.8218127117,2.40350877193
d10100,zhifmvmultiple4,560.172092213,19.06,19.95,-28.0788016147,1.04669464848
ex9,zhifmvmultiple4,1509.14695938,4400.0,3200.0,2.12040317221,-1.375
