ns1208400;prxt1;6300.0;6300.0;6300.0
csched010;prxt1;704.91;704.91;614.6
T2_300_5000_0;prxt1;235.0;235.0;546.16
rmatr100-p10;prxt1;384.7;384.7;536.52
irp;prxt1;200.3;200.3;489.02
tanglegram2;prxt1;2164.6;2164.6;230.73
n030w4-0;prxt1;434.41;434.41;263.37
neos-633273;prxt1;895.73;895.73;920.72
atlanta-ip;prxt1;661.55;661.55;4061.56
br5;prxt1;861.94;861.94;252.65
e401600;prxt1;892.15;892.15;223.22
bley_xl1;prxt1;405.0;405.0;416.83
draw-gemcutter;prxt1;32.22;32.22;604.06
gesa2;prxt1;1.48;1.48;0.43
T2_300_1000_0;prxt1;32.45;32.45;546.16
flugpl;prxt1;27.1;27.1;386.41
p0282;prxt1;38.06;38.06;747.61
eilB76;prxt1;59.06;59.06;202.54
ex9;prxt1;3000.0;3000.0;551.6
lseu;prxt1;123.07;123.07;4027.75
app1-2;prxt1;5937.54;5937.54;603.8
stdc6262p;prxt1;400.61;400.61;520.83
medium_hidden05;prxt1;3386.57;3386.57;1235.28
neos-1437164;prxt1;97.24;97.24;273.41
glass4;prxt1;879.95;879.95;4400.0
enlight14;prxt1;6300.0;6300.0;5520.43
neos-1354092;prxt1;1157.32;1157.32;216.8
bell3a;prxt1;4.53;4.53;13.07
mspp16;prxt1;1016.26;1016.26;821.01
neos-555884;prxt1;243.27;243.27;1138.56
misc07;prxt1;1210.84;1210.84;28.57
ns1208400;zhifmvhr0nve1str10tr20dvo7;6300.0;6300.0;6300.0
csched010;zhifmvhr0nve1str10tr20dvo7;658.49;658.49;614.6
T2_300_5000_0;zhifmvhr0nve1str10tr20dvo7;400.35;400.35;515.23
rmatr100-p10;zhifmvhr0nve1str10tr20dvo7;244.75;244.75;536.52
irp;zhifmvhr0nve1str10tr20dvo7;202.5;202.5;489.02
tanglegram2;zhifmvhr0nve1str10tr20dvo7;2223.2;2223.2;230.73
n030w4-0;zhifmvhr0nve1str10tr20dvo7;433.68;433.68;263.37
neos-633273;zhifmvhr0nve1str10tr20dvo7;895.73;895.73;920.72
atlanta-ip;zhifmvhr0nve1str10tr20dvo7;649.67;649.67;4061.56
br5;zhifmvhr0nve1str10tr20dvo7;2965.8;2965.8;252.65
e401600;zhifmvhr0nve1str10tr20dvo7;4400.2;4400.2;223.22
bley_xl1;zhifmvhr0nve1str10tr20dvo7;415.56;415.56;416.83
draw-gemcutter;zhifmvhr0nve1str10tr20dvo7;224.53;224.53;604.06
gesa2;zhifmvhr0nve1str10tr20dvo7;2.37;2.37;0.43
T2_300_1000_0;zhifmvhr0nve1str10tr20dvo7;230.44;230.44;515.23
flugpl;zhifmvhr0nve1str10tr20dvo7;27.1;27.1;386.41
p0282;zhifmvhr0nve1str10tr20dvo7;9.46;9.46;747.61
eilB76;zhifmvhr0nve1str10tr20dvo7;248.82;248.82;4.715
ex9;zhifmvhr0nve1str10tr20dvo7;4400.0;4400.0;551.6
lseu;zhifmvhr0nve1str10tr20dvo7;111.94;111.94;4027.75
app1-2;zhifmvhr0nve1str10tr20dvo7;5956.04;5956.04;603.8
stdc6262p;zhifmvhr0nve1str10tr20dvo7;408.43;408.43;520.83
medium_hidden05;zhifmvhr0nve1str10tr20dvo7;3847.52;3847.52;1235.28
neos-1437164;zhifmvhr0nve1str10tr20dvo7;0.02;0.02;273.41
glass4;zhifmvhr0nve1str10tr20dvo7;1014.9;1014.9;4400.0
enlight14;zhifmvhr0nve1str10tr20dvo7;6300.0;6300.0;5610.51
neos-1354092;zhifmvhr0nve1str10tr20dvo7;4401.86;4401.86;216.8
bell3a;zhifmvhr0nve1str10tr20dvo7;11.14;11.14;13.07
mspp16;zhifmvhr0nve1str10tr20dvo7;2921.2;2921.2;821.01
neos-555884;zhifmvhr0nve1str10tr20dvo7;247.52;247.52;1138.56
misc07;zhifmvhr0nve1str10tr20dvo7;1101.64;1101.64;28.57
ns1208400;zhifmvxpsve2str10tr20dvo7;2050.0;2050.0;6300.0
csched010;zhifmvxpsve2str10tr20dvo7;870.28;870.28;614.6
T2_300_5000_0;zhifmvxpsve2str10tr20dvo7;209.83;209.83;521.8
rmatr100-p10;zhifmvxpsve2str10tr20dvo7;384.35;384.35;536.52
irp;zhifmvxpsve2str10tr20dvo7;203.1;203.1;489.02
tanglegram2;zhifmvxpsve2str10tr20dvo7;2164.6;2164.6;230.73
n030w4-0;zhifmvxpsve2str10tr20dvo7;315.44;315.44;263.37
neos-633273;zhifmvxpsve2str10tr20dvo7;895.73;895.73;920.72
atlanta-ip;zhifmvxpsve2str10tr20dvo7;680.41;680.41;4061.56
br5;zhifmvxpsve2str10tr20dvo7;906.38;906.38;252.65
e401600;zhifmvxpsve2str10tr20dvo7;1039.49;1039.49;223.22
bley_xl1;zhifmvxpsve2str10tr20dvo7;431.12;431.12;416.83
draw-gemcutter;zhifmvxpsve2str10tr20dvo7;32.25;32.25;604.06
gesa2;zhifmvxpsve2str10tr20dvo7;1.51;1.51;0.43
T2_300_1000_0;zhifmvxpsve2str10tr20dvo7;31.93;31.93;521.8
flugpl;zhifmvxpsve2str10tr20dvo7;27.1;27.1;386.41
p0282;zhifmvxpsve2str10tr20dvo7;16.32;16.32;747.61
eilB76;zhifmvxpsve2str10tr20dvo7;56.26;56.26;202.54
ex9;zhifmvxpsve2str10tr20dvo7;3200.0;3200.0;551.6
lseu;zhifmvxpsve2str10tr20dvo7;123.07;123.07;4027.75
app1-2;zhifmvxpsve2str10tr20dvo7;5932.49;5932.49;603.8
stdc6262p;zhifmvxpsve2str10tr20dvo7;401.69;401.69;520.83
medium_hidden05;zhifmvxpsve2str10tr20dvo7;5169.2;5169.2;1235.28
neos-1437164;zhifmvxpsve2str10tr20dvo7;97.24;97.24;273.41
glass4;zhifmvxpsve2str10tr20dvo7;870.78;870.78;4400.0
enlight14;zhifmvxpsve2str10tr20dvo7;6300.0;6300.0;5610.51
neos-1354092;zhifmvxpsve2str10tr20dvo7;981.96;981.96;216.8
bell3a;zhifmvxpsve2str10tr20dvo7;4.53;4.53;13.07
mspp16;zhifmvxpsve2str10tr20dvo7;1029.49;1029.49;821.01
neos-555884;zhifmvxpsve2str10tr20dvo7;239.35;239.35;1138.56
misc07;zhifmvxpsve2str10tr20dvo7;1070.04;1070.04;28.57
ns1208400;zhifmvltmend1lyrootstr10tr20;6100.0;6100.0;6300.0
csched010;zhifmvltmend1lyrootstr10tr20;431.51;431.51;614.6
T2_300_5000_0;zhifmvltmend1lyrootstr10tr20;209.83;209.83;525.9
rmatr100-p10;zhifmvltmend1lyrootstr10tr20;389.55;389.55;536.52
irp;zhifmvltmend1lyrootstr10tr20;202.9;202.9;489.02
