@relation 'newExperimentData-weka.filters.unsupervised.attribute.Remove-R38-42-weka.filters.unsupervised.attribute.Remove-R1,18,39,40'

@attribute vtotal numeric
@attribute binaries numeric
@attribute integer numeric
@attribute continuous numeric
@attribute ctotal numeric
@attribute part numeric
@attribute pack numeric
@attribute cov numeric
@attribute card numeric
@attribute iknp numeric
@attribute knp numeric
@attribute bflow numeric
@attribute iflow numeric
@attribute mflow numeric
@attribute min numeric
@attribute max numeric
@attribute cuts {on,off}
@attribute heuristic {on,off}
@attribute proximity {on,off}
@attribute strong numeric
@attribute trust numeric
@attribute zero {off,ifmove}
@attribute combine2 {on,off}
@attribute diveopt numeric
@attribute reduce {off,ifmove}
@attribute expensive numeric
@attribute latwomir {off,endonly,endonlyroot}
@attribute multiple numeric
@attribute pumptune numeric
@attribute residual {off,ifmove}
@attribute passf numeric
@attribute node {fewest,upfewest,updepth,hybrid,downdepth,downfewest,depth}
@attribute passt numeric
@attribute lagomory {off,endonly}
@attribute naive {off,on}
@attribute rgap_time numeric

@data
59376,59376,0,0,4744,0,1660,0,0,7,257,1575,0,0,-53,53,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,410.92
25755,2856,0,22899,48939,0,0,0,0,0,0,0,0,2907,-1000,120,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,808.3
86,55,0,31,45,0,0,0,0,0,0,0,0,0,-1,55,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,371.6
675,113,181,381,294,0,0,0,0,0,0,0,0,251,-60,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1416.98
6400,6400,0,0,5277,32,4690,0,0,0,0,0,0,0,-200,200,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,258.67
3660,3600,60,0,3664,2,0,62,0,0,0,118,1,0,-1,69,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,357.7
840,48,0,792,1192,0,0,0,0,0,0,0,0,0,-22.23,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1834.94
129180,129180,0,0,119589,1,49799,103,0,0,0,19997,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,997.25
12719,12719,0,0,24864,529,0,0,1,0,0,12167,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,920.72
5929,5929,0,0,3282,53,294,1,0,0,0,7,0,0,-1,43,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,400
5759,5638,121,0,6367,157,514,0,0,0,0,0,35,0,-1,4,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,548.23
22725,22725,0,0,23996,75,897,0,0,0,0,0,0,0,-4,4,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,543.69
74,60,0,14,7,0,0,0,0,0,0,0,0,0,1,99,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,4047.36
7328,6110,0,1218,1203,0,0,0,0,0,0,0,0,0,-90,100000000,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,408.3
11690,11630,60,0,5032,632,1410,0,40,0,0,320,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,607.4
4500,4500,0,0,1237,0,1140,91,0,0,6,0,0,0,1,5,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,255.02
9522,9522,0,0,361,72,0,133,0,0,2,138,0,0,-1,8000,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,208.21
830,830,0,0,8429,0,0,0,0,0,2,0,0,0,-25422,25422,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,243.95
57855,57855,0,0,1570,0,632,0,0,0,274,0,0,0,-10000,53,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,523.37
7550,7550,0,0,4773,1000,0,0,1,0,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,200.01
4446,3906,0,540,3131,390,0,5,0,0,0,189,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,877.19
251,100,150,1,151,0,0,0,0,0,0,0,0,0,-100,1985,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,64.89
10958,96,0,10862,4480,0,0,0,0,0,0,0,0,3419,-42336,4.19992,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,277.78
1298,1254,0,44,363,22,0,0,0,0,0,283,0,6,-216,34,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,117.96
11299,11113,186,0,7616,1050,4300,0,0,0,0,350,22,0,-4,7,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,508.12
1629,1458,0,171,2932,349,135,0,0,0,576,36,0,0,-1,290,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,954.14
17248,17063,185,0,12099,1680,6876,0,0,4,0,560,10,0,-6,5,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,846.91
6786,6504,282,0,4702,630,2670,0,0,0,0,210,35,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,248.06
2685,2685,0,0,4191,88,382,0,0,0,0,0,0,0,-1000,1000,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,5726.79
1350,24,0,1326,101,0,0,0,0,0,0,0,0,77,-5000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,0.22
1059,1058,1,0,8164,45,3795,0,0,0,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,690
59376,59376,0,0,4744,0,1660,0,0,7,257,1575,0,0,-53,53,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,500
25755,2856,0,22899,48939,0,0,0,0,0,0,0,0,2907,-1000,120,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,405.77
86,55,0,31,45,0,0,0,0,0,0,0,0,0,-1,55,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,408
675,113,181,381,294,0,0,0,0,0,0,0,0,251,-60,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1512.41
6400,6400,0,0,5277,32,4690,0,0,0,0,0,0,0,-200,200,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,761
3660,3600,60,0,3664,2,0,62,0,0,0,118,1,0,-1,69,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,703.77
840,48,0,792,1192,0,0,0,0,0,0,0,0,0,-22.23,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1866.74
129180,129180,0,0,119589,1,49799,103,0,0,0,19997,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1874.12
12719,12719,0,0,24864,529,0,0,1,0,0,12167,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,920.72
5929,5929,0,0,3282,53,294,1,0,0,0,7,0,0,-1,43,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,400
5759,5638,121,0,6367,157,514,0,0,0,0,0,35,0,-1,4,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,528.75
22725,22725,0,0,23996,75,897,0,0,0,0,0,0,0,-4,4,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,695.58
74,60,0,14,7,0,0,0,0,0,0,0,0,0,1,99,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,4054.44
7328,6110,0,1218,1203,0,0,0,0,0,0,0,0,0,-90,100000000,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,405.35
11690,11630,60,0,5032,632,1410,0,40,0,0,320,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,352.33
4500,4500,0,0,1237,0,1140,91,0,0,6,0,0,0,1,5,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,255.02
9522,9522,0,0,361,72,0,133,0,0,2,138,0,0,-1,8000,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,213.13
830,830,0,0,8429,0,0,0,0,0,2,0,0,0,-25422,25422,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,131.08
57855,57855,0,0,1570,0,632,0,0,0,274,0,0,0,-10000,53,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1602.52
7550,7550,0,0,4773,1000,0,0,1,0,0,0,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,400.01
4446,3906,0,540,3131,390,0,5,0,0,0,189,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,2354.32
251,100,150,1,151,0,0,0,0,0,0,0,0,0,-100,1985,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,6.4
10958,96,0,10862,4480,0,0,0,0,0,0,0,0,3419,-42336,4.19992,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,238.18
1298,1254,0,44,363,22,0,0,0,0,0,283,0,6,-216,34,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,296.35
11299,11113,186,0,7616,1050,4300,0,0,0,0,350,22,0,-4,7,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,400
1629,1458,0,171,2932,349,135,0,0,0,576,36,0,0,-1,290,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1707.47
17248,17063,185,0,12099,1680,6876,0,0,4,0,560,10,0,-6,5,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,2225.93
6786,6504,282,0,4702,630,2670,0,0,0,0,210,35,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,243.65
2685,2685,0,0,4191,88,382,0,0,0,0,0,0,0,-1000,1000,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,2586.38
1350,24,0,1326,101,0,0,0,0,0,0,0,0,77,-5000,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,0.22
1059,1058,1,0,8164,45,3795,0,0,0,0,0,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,5210
59376,59376,0,0,4744,0,1660,0,0,7,257,1575,0,0,-53,53,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,461.74
25755,2856,0,22899,48939,0,0,0,0,0,0,0,0,2907,-1000,120,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,408.26
86,55,0,31,45,0,0,0,0,0,0,0,0,0,-1,55,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,349.05
