@relation 'newExperimentData-weka.filters.unsupervised.attribute.Remove-R38-42-weka.filters.unsupervised.attribute.Remove-R1,18,39,40'

@attribute vtotal numeric
@attribute binaries numeric
@attribute integer numeric
@attribute continuous numeric
@attribute ctotal numeric
@attribute part numeric
@attribute pack numeric
@attribute cov numeric
@attribute card numeric
@attribute iknp numeric
@attribute knp numeric
@attribute bflow numeric
@attribute iflow numeric
@attribute mflow numeric
@attribute min numeric
@attribute max numeric
@attribute cuts {on,off}
@attribute heuristic {on,off}
@attribute proximity {on,off}
@attribute strong numeric
@attribute trust numeric
@attribute zero {off,ifmove}
@attribute combine2 {on,off}
@attribute diveopt numeric
@attribute reduce {off,ifmove}
@attribute expensive numeric
@attribute latwomir {off,endonly,endonlyroot}
@attribute multiple numeric
@attribute pumptune numeric
@attribute residual {off,ifmove}
@attribute passf numeric
@attribute node {fewest,upfewest,updepth,hybrid,downdepth,downfewest,depth}
@attribute passt numeric
@attribute lagomory {off,endonly}
@attribute naive {off,on}
@attribute rgap_time numeric

@data
512,256,0,256,288,0,0,0,0,0,0,0,0,0,-54,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,30.86
505,35,0,470,576,0,0,0,5,0,0,0,0,56,-81,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,114.15
164547,146,0,164401,328818,17,0,0,0,0,1,0,0,0,-1,10986600,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,769.69
422,98,0,324,291,0,0,0,0,0,0,0,0,61,-17360,1.50376,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,8.22
1161,129,0,1032,1494,3,6,0,0,3,3,18,0,372,-250,196,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,4980.93
9557,55,0,9502,6803,0,0,0,0,0,0,0,0,4928,-99999,39166,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,261.51
2025,1800,0,225,230,80,40,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,200.76
8784,100,0,8684,8685,0,0,0,1,0,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,570.98
2500,1250,0,1250,1750,0,0,0,0,0,0,0,0,418,-82,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,603.08
378,168,0,210,234,0,0,0,0,0,0,0,0,24,-1,600,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,109.35
1758,1457,0,301,351,50,0,0,0,0,0,0,0,251,-180,5,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,704.91
7359,100,0,7259,7260,0,0,0,1,0,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,384.7
1224,240,168,816,1392,0,48,0,0,0,0,0,0,48,-124.8,114.684,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.48
18,0,11,7,18,0,0,0,0,0,0,0,4,1,-100,150,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,27.1
1224,384,336,504,1248,0,48,0,0,0,0,0,0,48,-124.8,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,2.97
622,457,0,165,125899,44,0,0,0,0,0,0,0,49,-10000000,4568.06,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,4400
240,64,0,176,246,0,0,0,0,0,0,0,0,9,-500,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,369.03
2600,100,0,2500,225,0,0,0,0,0,0,0,0,0,-1529,99,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,102.23
870,144,6,720,780,0,0,0,0,0,0,0,0,144,-250,670,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,3.37
2298,170,0,2128,1026,0,0,0,0,0,10,0,0,906,-1,28.81,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,16.12
1886,160,32,1694,1182,40,0,0,0,0,0,0,0,352,-20867.5,36000,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,0.02
1166,246,492,428,2295,0,404,119,0,0,0,0,0,174,-112,322,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,240.13
1808,112,0,1696,820,0,0,0,0,0,0,0,0,249,-264.284,2.25394,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1551.27
104,30,28,46,91,0,0,0,0,0,0,0,0,0,-1344,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,5.25
353,231,33,89,274,0,0,0,0,79,0,0,0,89,-5437,7243,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,182.38
938,0,90,848,158,0,0,0,0,0,0,0,0,99,-622,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,218.5
1152,216,168,768,1368,0,48,0,0,0,0,0,0,48,-124.8,119.65,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,0.43
3648,192,0,3456,3312,0,0,0,0,0,0,0,0,1185,-480,100,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,746.88
13873,552,0,13321,3202,0,0,0,48,0,0,0,0,826,-1000,1000,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1175.97
