@relation 'newExperimentData-weka.filters.unsupervised.attribute.Remove-R38-42-weka.filters.unsupervised.attribute.Remove-R1,18,39,40'

@attribute vtotal numeric
@attribute binaries numeric
@attribute integer numeric
@attribute continuous numeric
@attribute ctotal numeric
@attribute part numeric
@attribute pack numeric
@attribute cov numeric
@attribute card numeric
@attribute iknp numeric
@attribute knp numeric
@attribute bflow numeric
@attribute iflow numeric
@attribute mflow numeric
@attribute min numeric
@attribute max numeric
@attribute cuts {on,off}
@attribute heuristic {on,off}
@attribute proximity {on,off}
@attribute strong numeric
@attribute trust numeric
@attribute zero {off,ifmove}
@attribute combine2 {on,off}
@attribute diveopt numeric
@attribute reduce {off,ifmove}
@attribute expensive numeric
@attribute latwomir {off,endonly,endonlyroot}
@attribute multiple numeric
@attribute pumptune numeric
@attribute residual {off,ifmove}
@attribute passf numeric
@attribute node {fewest,upfewest,updepth,hybrid,downdepth,downfewest,depth}
@attribute passt numeric
@attribute lagomory {off,endonly}
@attribute naive {off,on}
@attribute rgap_time numeric
@attribute time numeric

@data
1747,1731,14,2,2107,27,473,0,0,3,0,166,4,1,-1000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,208.56,1
1747,1731,14,2,2107,27,473,0,0,3,0,166,4,1,-1000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,217.57,2
1747,1731,14,2,2107,27,473,0,0,3,0,166,4,1,-1000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,225.1,3
1747,1731,14,2,2107,27,473,0,0,3,0,166,4,1,-1000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,230.02,4
1747,1731,14,2,2107,27,473,0,0,3,0,166,4,1,-1000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,234.04,5
1747,1731,14,2,2107,27,473,0,0,3,0,166,4,1,-1000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,237.2,6
1747,1731,14,2,2107,27,473,0,0,3,0,166,4,1,-1000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,239.59,7
1747,1731,14,2,2107,27,473,0,0,3,0,166,4,1,-1000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,241.72,8
1747,1731,14,2,2107,27,473,0,0,3,0,166,4,1,-1000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,243.85,9
1747,1731,14,2,2107,27,473,0,0,3,0,166,4,1,-1000,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,245.33,10
