@relation 'newExperimentData-weka.filters.unsupervised.attribute.Remove-R38-42-weka.filters.unsupervised.attribute.Remove-R1,18,39,40'

@attribute vtotal numeric
@attribute binaries numeric
@attribute integer numeric
@attribute continuous numeric
@attribute ctotal numeric
@attribute part numeric
@attribute pack numeric
@attribute cov numeric
@attribute card numeric
@attribute iknp numeric
@attribute knp numeric
@attribute bflow numeric
@attribute iflow numeric
@attribute mflow numeric
@attribute min numeric
@attribute max numeric
@attribute cuts {on,off}
@attribute heuristic {on,off}
@attribute proximity {on,off}
@attribute strong numeric
@attribute trust numeric
@attribute zero {off,ifmove}
@attribute combine2 {on,off}
@attribute diveopt numeric
@attribute reduce {off,ifmove}
@attribute expensive numeric
@attribute latwomir {off,endonly,endonlyroot}
@attribute multiple numeric
@attribute pumptune numeric
@attribute residual {off,ifmove}
@attribute passf numeric
@attribute node {fewest,upfewest,updepth,hybrid,downdepth,downfewest,depth}
@attribute passt numeric
@attribute lagomory {off,endonly}
@attribute naive {off,on}
@attribute rgap_time numeric

@data
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,385.72
1224,384,336,504,1248,0,48,0,0,0,0,0,0,48,-124.8,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1.88
622,457,0,165,125899,44,0,0,0,0,0,0,0,49,-10000000,4568.06,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,4400
1339,1339,0,0,3052,244,288,11,33,647,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1200.01
1520,1520,0,0,28979,23,1520,0,0,27360,0,76,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,260.82
3321,18,3303,0,6480,0,0,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,21.01
28599,28599,0,0,75,75,0,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,356.02
240,64,0,176,246,0,0,0,0,0,0,0,0,9,-500,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,169.17
200,200,0,0,200,0,0,200,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,28.57
2600,100,0,2500,225,0,0,0,0,0,0,0,0,0,-1529,99,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,16.02
7920,7920,0,0,5964,0,1814,0,0,58,0,0,0,0,-1,2,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,485.72
870,144,6,720,780,0,0,0,0,0,0,0,0,144,-250,670,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,3.37
695,685,10,0,1286,66,260,0,0,5,5,0,5,0,-3880,3880,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,435.63
1736,1624,112,0,2138,406,0,0,0,0,0,0,0,0,-72,72,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,700.54
1520,1520,0,0,550339,23,1520,0,0,547200,1520,76,0,0,-1,2,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1299
3312,3312,0,0,11402,2262,0,2809,0,0,0,0,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,393.75
5478,2796,2682,0,4680,0,701,0,0,0,53,0,0,0,-19,840,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,228.04
45150,45150,0,0,46496,150,897,0,0,0,0,0,0,0,-4,4,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,587.18
73885,73885,0,0,551,551,0,0,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,727.83
2298,170,0,2128,1026,0,0,0,0,0,10,0,0,906,-1,28.81,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,2.38
11190,11004,186,0,7652,1050,4300,30,0,0,0,350,20,0,-4,3,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,571.69
45,45,0,0,331,0,0,330,0,0,0,0,0,0,1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,496.5
4150,4150,0,0,1820,20,0,0,0,0,0,1800,0,0,-1,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,443.8
6924,6724,200,0,4811,630,2759,0,0,1,0,210,32,0,-5,7,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,347.11
9448,9448,0,0,3694,148,774,0,32,0,0,2544,0,0,-12,1,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,228.89
111,105,6,0,109,15,0,0,0,0,0,0,3,0,-1740,1740,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,47.65
1886,160,32,1694,1182,40,0,0,0,0,0,0,0,352,-20867.5,36000,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,0.02
1166,246,492,428,2295,0,404,119,0,0,0,0,0,174,-112,322,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,229.21
1541,1288,129,124,456,48,0,0,0,0,0,160,0,124,-1344,4122.94,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,22.3
1808,112,0,1696,820,0,0,0,0,0,0,0,0,249,-264.284,2.25394,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,1551.27
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,667.62
1224,384,336,504,1248,0,48,0,0,0,0,0,0,48,-124.8,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,2.97
622,457,0,165,125899,44,0,0,0,0,0,0,0,49,-10000000,4568.06,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,4400
1339,1339,0,0,3052,244,288,11,33,647,0,0,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1000.01
1520,1520,0,0,28979,23,1520,0,0,27360,0,76,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,327.86
3321,18,3303,0,6480,0,0,0,0,0,0,0,0,0,1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,21.01
28599,28599,0,0,75,75,0,0,0,0,0,0,0,0,1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,297.56
240,64,0,176,246,0,0,0,0,0,0,0,0,9,-500,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,369.03
200,200,0,0,200,0,0,200,0,0,0,0,0,0,1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,27.73
2600,100,0,2500,225,0,0,0,0,0,0,0,0,0,-1529,99,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,102.23
7920,7920,0,0,5964,0,1814,0,0,58,0,0,0,0,-1,2,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1056.86
870,144,6,720,780,0,0,0,0,0,0,0,0,144,-250,670,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,3.37
695,685,10,0,1286,66,260,0,0,5,5,0,5,0,-3880,3880,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,486.16
1736,1624,112,0,2138,406,0,0,0,0,0,0,0,0,-72,72,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,881.98
1520,1520,0,0,550339,23,1520,0,0,547200,1520,76,0,0,-1,2,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,3035.76
3312,3312,0,0,11402,2262,0,2809,0,0,0,0,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,405.38
5478,2796,2682,0,4680,0,701,0,0,0,53,0,0,0,-19,840,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,452.46
45150,45150,0,0,46496,150,897,0,0,0,0,0,0,0,-4,4,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1250.5
73885,73885,0,0,551,551,0,0,0,0,0,0,0,0,1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,726.2
2298,170,0,2128,1026,0,0,0,0,0,10,0,0,906,-1,28.81,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,16.12
11190,11004,186,0,7652,1050,4300,30,0,0,0,350,20,0,-4,3,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,885.64
45,45,0,0,331,0,0,330,0,0,0,0,0,0,1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,760.07
4150,4150,0,0,1820,20,0,0,0,0,0,1800,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,443.8
6924,6724,200,0,4811,630,2759,0,0,1,0,210,32,0,-5,7,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,259.77
9448,9448,0,0,3694,148,774,0,32,0,0,2544,0,0,-12,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,295.49
111,105,6,0,109,15,0,0,0,0,0,0,3,0,-1740,1740,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,37.05
1886,160,32,1694,1182,40,0,0,0,0,0,0,0,352,-20867.5,36000,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,0.02
1166,246,492,428,2295,0,404,119,0,0,0,0,0,174,-112,322,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,240.13
1541,1288,129,124,456,48,0,0,0,0,0,160,0,124,-1344,4122.94,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,61.53
1808,112,0,1696,820,0,0,0,0,0,0,0,0,249,-264.284,2.25394,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1551.27
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,566.67
1224,384,336,504,1248,0,48,0,0,0,0,0,0,48,-124.8,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,2.11
622,457,0,165,125899,44,0,0,0,0,0,0,0,49,-10000000,4568.06,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,4400
1339,1339,0,0,3052,244,288,11,33,647,0,0,0,0,-1,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,1200.01
1520,1520,0,0,28979,23,1520,0,0,27360,0,76,0,0,-1,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,263.81
3321,18,3303,0,6480,0,0,0,0,0,0,0,0,0,1,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,21.01
28599,28599,0,0,75,75,0,0,0,0,0,0,0,0,1,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,423.79
240,64,0,176,246,0,0,0,0,0,0,0,0,9,-500,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,155.56
200,200,0,0,200,0,0,200,0,0,0,0,0,0,1,1,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,28.57
2600,100,0,2500,225,0,0,0,0,0,0,0,0,0,-1529,99,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,15.67
7920,7920,0,0,5964,0,1814,0,0,58,0,0,0,0,-1,2,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,1302.13
870,144,6,720,780,0,0,0,0,0,0,0,0,144,-250,670,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,3.37
695,685,10,0,1286,66,260,0,0,5,5,0,5,0,-3880,3880,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,421.04
1736,1624,112,0,2138,406,0,0,0,0,0,0,0,0,-72,72,on,on,off,10,20,ifmove,off,7,off,2,off,0,0,off,30,fewest,1,off,on,683.72
