@relation 'newExperimentData-weka.filters.unsupervised.attribute.Remove-R38-42-weka.filters.unsupervised.attribute.Remove-R1,18,39,40'

@attribute vtotal numeric
@attribute binaries numeric
@attribute integer numeric
@attribute continuous numeric
@attribute ctotal numeric
@attribute part numeric
@attribute pack numeric
@attribute cov numeric
@attribute card numeric
@attribute iknp numeric
@attribute knp numeric
@attribute bflow numeric
@attribute iflow numeric
@attribute mflow numeric
@attribute min numeric
@attribute max numeric
@attribute cuts {on,off}
@attribute heuristic {on,off}
@attribute proximity {on,off}
@attribute strong numeric
@attribute trust numeric
@attribute zero {off,ifmove}
@attribute combine2 {on,off}
@attribute diveopt numeric
@attribute reduce {off,ifmove}
@attribute expensive numeric
@attribute latwomir {off,endonly,endonlyroot}
@attribute multiple numeric
@attribute pumptune numeric
@attribute residual {off,ifmove}
@attribute passf numeric
@attribute node {fewest,upfewest,updepth,hybrid,downdepth,downfewest,depth}
@attribute passt numeric
@attribute lagomory {off,endonly}
@attribute naive {off,on}
@attribute rgap_time numeric

@data
201,201,0,0,133,0,26,0,0,0,3,0,0,0,-64,64,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,248.32
1000,1000,0,0,110,100,0,0,0,0,10,0,0,0,1,100,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,246.05
490,490,0,0,1750,35,1260,0,0,0,0,0,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,66.36
4000,4000,0,0,410,400,0,0,0,0,10,0,0,0,1,91,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,203.41
16864,16440,424,0,11834,1680,6640,0,0,0,0,560,12,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1083.78
1161,129,0,1032,1494,3,6,0,0,3,3,18,0,372,-250,196,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,439.92
53444,53444,0,0,100,100,0,0,0,0,0,0,0,0,1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,533.78
32000,32000,0,0,1620,1600,0,0,0,0,20,0,0,0,1,91,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1246.05
17956,17822,0,134,624166,132,606081,0,1,0,0,0,0,132,-2741.81,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,2500.04
224,224,0,0,469,56,64,0,0,92,86,0,0,0,-2,10,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,200.01
500,500,0,0,26314,0,26314,0,0,0,0,0,0,0,1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1042.88
792,792,0,0,9296,35,8470,0,0,0,0,0,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,1273.98
714,714,0,0,109833,0,44,0,0,109744,0,45,0,0,-1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,509.99
7195,7195,0,0,426,426,0,0,0,0,0,0,0,0,1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,234.28
9557,55,0,9502,6803,0,0,0,0,0,0,0,0,4928,-99999,39166,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,259.22
2025,1800,0,225,230,80,40,0,0,0,0,0,0,0,1,1,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,200.76
80100,66750,13350,0,13600,0,0,0,0,0,250,0,0,0,-1,9,on,off,off,10,20,ifmove,off,7,off,0,off,0,0,off,30,fewest,1,off,on,200.01
