@relation 'newExperimentData-weka.filters.unsupervised.attribute.Remove-R38-42-weka.filters.unsupervised.attribute.Remove-R1,18,39,40'

@attribute vtotal numeric
@attribute binaries numeric
@attribute integer numeric
@attribute continuous numeric
@attribute ctotal numeric
@attribute part numeric
@attribute pack numeric
@attribute cov numeric
@attribute card numeric
@attribute iknp numeric
@attribute knp numeric
@attribute bflow numeric
@attribute iflow numeric
@attribute mflow numeric
@attribute min numeric
@attribute max numeric
@attribute cuts {on,off}
@attribute heuristic {on,off}
@attribute proximity {on,off}
@attribute strong numeric
@attribute trust numeric
@attribute zero {off,ifmove}
@attribute combine2 {on,off}
@attribute diveopt numeric
@attribute reduce {off,ifmove}
@attribute expensive numeric
@attribute latwomir {off,endonly,endonlyroot}
@attribute multiple numeric
@attribute pumptune numeric
@attribute residual {off,ifmove}
@attribute passf numeric
@attribute node {fewest,upfewest,updepth,hybrid,downdepth,downfewest,depth}
@attribute passt numeric
@attribute lagomory {off,endonly}
@attribute naive {off,on}
@attribute rgap_time numeric
@attribute time numeric

@data
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,300,1
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,342.86,2
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,385.72,3
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,385.72,4
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,385.72,5
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,385.72,6
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,385.72,7
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,385.72,8
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,385.72,9
7901,7665,236,0,14163,0,0,0,0,0,0,0,3,0,-1320,1320,on,on,on,5,5,off,off,2,off,0,off,0,0,off,30,fewest,1,off,on,385.72,10
